,racquet_id,racquet_description
174,RCHEAD-HINTL,"Head offers impressive value to beginner and intermediate players Introducing the Instinct Team L 2025 ! Like the previous generation, this racquet features a forgiving 107in² head and an open 16x19 string pattern, resulting in an impressive combination of power, spin, and comfort. Boasting a great price, the Team L is a solid option for value hunters who don't want to sacrifice an ounce of performance. Other features include a slightly extended length for extra pop on groundies and serves. In addition to being a great option for both beginners and early intermediate players, the Instinct Team L is suitable for the senior doubles specialist who craves a speedy racquet with controllable power. It also features a flexible sub-65 RA stiffness, making it one of the most arm-friendly options in its class. As with the other Instinct models, the signature technology is Auxetic which is strategically placed in the yoke to give the Instinct its crisp and connected feel. It also benefits from Graphene Inside, which strengthens the frame in key locations to provide a more powerful and stable hitting experience. All in all, this racquet not only provides the benefits of a forgiving 107in² head, it also delivers the speed, spin, and power for which the Instinct series is known. The fact that it is more arm-friendly than the majority of its competitors is a nice bonus."
175,RCHEAD-HINSPW,"Easy power. Arm-friendly comfort. Great price. Updated with Auxetic Technology, the Instinct PWR 110 2025 is perfect for beginners and early intermediate players. It will also tempt the savvy double player looking for a powerful serve and volley weapon. Like the previous generation, this racquet offers raw speed from the baseline and quick handling at net. It also packs a forgiving 110 square inch head, making it easy to achieve clean contact with the ball. Taken together, these features make the Instinct 110 an extremely user-friendly racquet. Other features include a 27.4"" length, which offers a nice boost in power serves. As with the other Instinct models, the signature technology is Auxetic , which is strategically placed in the yoke to give the Instinct its crisp and connected feel. It also benefits from Graphene Inside, which strengthens the frame in key locations to provide a more powerful and stable hitting experience. Ultimately, with some nice improvements to the feel, this update is great for players who crave a maneuverable racquet with high levels of comfort and power. Did we mention the price?"
176,RCHEAD-TIS6,"This racquet comes pre-strung for added convenience and value! This ultra-light racquet offers excellent power from anywhere on the court. Players with slower strokes or a compact swing will find easier access to depth thanks to the powerful response of this racquet. The large head makes the TiS.6 a forgiving racquet for those just getting started in the game while giving more experienced players more margin to brush the ball for spin. Impressive stability helps keep this racquet feeling comfortable in the hands. The maneuverability, power and access to spin also make this a great option for doubles players."
199,RCYONEX-VC988G,"This plush and spin-friendly weapon gets a more powerful beam for 2026 Introducing the VCORE 98 8th Gen ! Like the previous generation, this racquet combines a 98 square inch head with an open string pattern and Yonex's modified (""Energized"") Isometric head shape, which includes an enlarged frame top for a wider spin window and easier access to power. On the court, the VCORE 98 moves surprisingly fast, which makes it great for chasing down balls, whipping up heavy spin, or reacting quickly at net. Compared to the VCORE 100, this stick offers a more precise and predictable response, making it easier to hit your targets with pace or pull the trigger at the end of a long rally . For 2026, Yonex redesigns the beam, giving it a faster, more aerodynamic shape while also thickening it in key locations for added stability and power. Additional 2026 updates include widening the grommet holes for increased string movement and greater snapback, as well as lengthening the inner trench at the tip for added flex and pocketing. To help with comfort, this racquet integrates a thin, elastic film ( Servo Filter ) within the layers of NAMD FlexForce Graphite, allowing the frame to flex optimally while also filtering out the harshest vibrations. This effect is complemented by a Vibration Dampening Mesh integrated into the handle, which further softens impact. Ultimately, Yonex has delivered an impressive update to the VCORE 98. Intermediate and advanced players looking for a spin-friendly weapon with a plush and lively feel should love this update."
200,RCYONEX-VC108G,"This powerful and spin-friendly weapon gets outfitted with a new beam for 2026 Introducing the 8th generation of the VCORE 100 ! With this 2026 update, Yonex makes incremental changes to the beam while keeping the plush feel, spin-friendly targeting, and easy power for which this model is known. Like other members of the VCORE family, this racquet's Isometric head shape has been modified with a wider contact zone at 10 and 2 o'clock, resulting in a larger spin window along with easier power and a higher launch angle (think easy depth). Boasting a swingweight in the mid 320s, the VCORE 100 delivers a stable ride, while still offering enough all-court speed to attack the net and close out points . For 2026, Yonex redesigns the beam, giving it a faster, more aerodynamic shape while also thickening it in key locations for added stability and power. Additional 2026 updates include widening the grommet holes for increased string movement and greater snapback, as well as lengthening the inner trench at the tip for added flex and pocketing. To help with comfort, this racquet integrates a thin, elastic film ( Servo Filter ) within the layers of NAMD FlexForce Graphite, allowing the frame to flex optimally while also absorbing harsh vibrations. This effect is complemented by a Vibration Dampening Mesh integrated into the handle, which further softens impact. Intermediate and advanced players looking for a plush and powerful racquet with impressive spin-potential should add this to their demo list."
201,RCYONEX-VC1L8G,"This speedy and spin-friendly weapon gets an impressive makeover for 2026 Meet the VCORE 100L 8th Gen! With this racquet, Yonex brings spin-friendly targeting, plush comfort, and controllable power to the rising intermediate player. Like other members of the VCORE family, this racquet's Isometric head shape has been modified with an even wider contact zone at 10 and 2 o'clock, resulting in a larger spin window and easier access to power. On court, this translates into deeper, more penetrating shots. Thanks to its sub-315 swingweight, the VCORE 100L 2026 glides through impact with impressive speed, making it easier to whip up spin or hit effective shots on the run. The fast feel is also an asset at net where this stick comes around fast when the pressure is on. For 2026, Yonex redesigns the beam, giving it a faster, more aerodynamic shape while also thickening it in key locations for added stability and power. Additional 2026 updates include widening the grommet holes for increased string movement and greater snapback, as well as lengthening the inner trench at the tip for added flex and pocketing. To help with comfort, this racquet integrates a thin, elastic film ( Servo Filter ) within the layers of NAMD FlexForce Graphite, allowing the frame to flex optimally while also absorbing harsh vibrations. This effect is complemented by a Vibration Dampening Mesh integrated into the handle, which further softens impact. Ultimately, with some nice updates to the beam and overall response, the 2026 VCORE 100L is a solid update. Intermediate players looking for a speedy and spin-friendly weapon should give this one a serious look. The plush feel is a nice bonus."
203,RCYONEX-VC95SB,This speedy and surgical player's racquet gets updated with an awesome beige cosmetic
204,RCYONEX-YVC95,This fast and surgical player's racquet gets updated with a new frame geometry for 2023
205,RCYONEX-YVC280,"Yonex reengineers it's ISOMETRIC head shape to create a more forgiving and spin friendly hitting experience With the 2023 version of the VCORE 100L , Yonex puts the power and spin-friendly precision of the standard VCORE 100 into a lighter, more user-friendly package. At under 11 ounces strung and boasting a sub-315 swingweight, the 100L makes it easy for rising intermediate players to load the ball with pace and spin. For 2023 Yonex re-engineers the frame's geometry. In addition to redesigning the shaft and making the beam's face thinner, Yonex has widened the surface area of the racquet's upper hoop, resulting in a more stable, powerful, and spin-friendly hitting experience. Other new features include SIF Grommets , which deploy a silicone oil infusion to reduce the friction between the string and grommet. The upshot is greater string movement for increased snapback and easier access to spin. Yonex has also lowered the RA, giving this stick even better feedback than previous versions. As with the previous generation, this racquet has 2G-NAMD FlexForce Graphite in the upper shaft and lower hoop, enabling the racquet to deflect and snap back effectively through impact. Ultimately, with some impressive updates to the frame shape and feel, the VCORE 100L continues to be an obvious choice for intermediate players who want the whole package."
206,RCYONEX-VC07ACE,"User-friendly performance. Plush comfort. Great price! Pre-strung for added savings! With its seductive combination of speed, comfort and precision, the VCORE Ace delivers a very easy learning curve to improving players. The incredible price makes this one of the best entry points into the VCORE family. At under 10 ounces strung, this racquet glides through contact with remarkable speed, making it easier to swing faster when adding pace and spin to your shots. Factor in the control-oriented 98in² head, and the payoff is easy placement from all areas of the court. Although this racquet has received subtle updates for 2023, it continues to be defined by its ISOMETRIC head shape, a feature that makes Yonex racquets feel undeniably more plush and forgiving than competing racquets. Ultimately, with its impressive combination of speed and accuracy, this comfortable racquet is a must buy for value hunters who don't want to sacrifice an ounce of performance."
207,RCYONEX-EZ10BB,"Yonex overhauls the frame's geometry and adds new dampening technology for 2025 Yonex adds another chapter to the EZONE 100! Like the previous generation, this update is defined by its plush comfort and spin-friendly targeting (think controllable power). In addition to offering a more forgiving and powerful head size than its 98in² sibling, the 2025 EZONE 100 is very fast, making it great for hitting winners on the run, resetting the point with an outstretched flick, or reacting quickly at the net. It will also give aggressive players enough pop and accuracy to finish points with a bang. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature remains the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. Ultimately, with some nice tweaks to the feel and response, this update checks all the right boxes. Intermediate and advanced players looking for a speedy player's racquet with easy access to spin and power won't be disappointed."
208,RCYONEX-EZ98BB,"Plush and precise, this update combines quick handling with mindless accuracy and outstanding feel With the 2025 version of the EZONE 98 , Yonex delivers an irresistible combination of speed, comfort, and precision. Like the previous version, this racquet combines a control oriented 98in² head with a spin-friendly string pattern and stable beam construction. It's also remarkably fast, making it one of the most user-friendly racquets in its class . For 2025, the EZONE 98 comes with a lower RA stiffness, giving this already comfortable racquet an even more buttery feel. Yonex also overhauls the frame geometry, thickening the beam in the upper hoop to enhance power and stability, while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds an ultra-thin natural fiber to the shaft (called Minolon ) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The defining feature remains the ISOMETRIC head shape, giving the EZONE 98 an unmistakably more forgiving response than conventionally shaped equivalents. Ultimately, with its exceptional feel and ultra-easy shot placement, this impressive update from Yonex is hard to put down."
209,RCYONEX-LEZ10B,"Packed with power and plow-through, the EZONE 100+ is dangerous in the right hands Updated with a new material technology for 2025, the EZONE 100+ continues to be dangerous in the hands of aggressive players looking to hit a heavy ball. Defined by its extended 27.5"" length, the EZONE 100+ gives advanced ball strikers huge power on groundies and serves. It also provides the kind of spin-friendly precision that makes it easy to select ambitious targets. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability, while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature remains the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. With incremental tweaks to the feel and geometry, the EZONE 100+ continues to be an obvious option for those looking to supercharge their groundies and serves. The plush and solid feel at impact is addictive."
210,RCYONEX-EZ1LBB,"This racquet puts the spin and controllable power of the standard EZONE 100 into a lighter, faster package. With this light version of the EZONE 100 , Yonex serves up plush comfort and easy targeting to intermediate players. It's also a solid option for the dedicated beginner or competitive junior who wants a racquet that will reward continued improvement. Like the previous generation, this update moves through contact with lightning speed, making it easy for improving players to master the mechanics of pace and spin. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations . Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature is the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents . With nice tweaks to the feel and response, the EZONE 100L continues to provide a great entry point into the spin, power, and comfort of the EZONE family."
211,RCYONEX-EZ1SLB,"Yonex delivers the perfect tool for mastering the mechanics of pace and spin Yonex adds another chapter to the EZONE 100SL! With its light weight, this racket makes it easier to address the ball with confidence. It packs enough pop to keep your opponents in check while giving you the needed spin potential to bring the ball down accurately. This racket's raw speed also shines at net where it comes around fast to deliver easy shot placement. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability while adding a groove on the inner portion of the frame to help the racket bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature is the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. With some nice tweaks to the feel and response, this update provides a very easy learning curve to those who are looking to play aggressive tennis."
212,RCYONEX-EZ105B,"Updated with a more comfortable feel for 2025 Yonex updates the EZONE 105 with new material technology while keeping the user-friendly playability of the previous generation. In addition to being perfect for dedicated beginners and rising intermediate players, the EZONE 105 is also great for the doubles player who wants a light and powerful serving racquet that moves fast at net. Defined by its forgiving 105-square-inch head, this stick is more forgiving than a standard midplus racquet, making it great for the player who wants a more user-friendly option. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability, while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature remains the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. Ultimately, this update is a great option for those who want a maneuverable racquet with controllable power and great feel. The arm-friendly feel is a nice bonus!"
213,RCYONEX-EZ115B,"Introducing the most comfortable and powerful member of the EZONE family Introducing the EZONE 115 (2025)! New to the EZONE family, this racquet specializes in comfort and power. In addition to being great for beginners and those with compact strokes, the EZONE 115 will also appeal to the doubles player who wants a dangerous serve and volley weapon. Defined by its luxurious 115in² head, this stick provides a generous margin of error, ensuring that comfort and performance remain high, even when contact is less than perfect. Additional features include an extended 27.5"" length for extra power on serves and groundstrokes, along with an open 16x18 string pattern, making it easy to control the power with spin. For 2025, Yonex overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability, while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature remains the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. Players looking for an ultra arm-friendly racquet with dangerous levels of power will love this new addition to the EZONE family."
214,RCYONEX-EZ110B,"Easy Power. Plush Comfort. Raw Speed With the EZONE 110 , Yonex delivers easy power and arm-friendly comfort to beginner and intermediate level players. This racquet should also appeal to the savvy doubles players who want a powerful serving racquet with big put-away power at net . For 2025, Yonex extends this racquet's length to 27.5"", providing even easier power on groundies and serves. Yonex also overhauls the frame's geometry, thickening the beam in the upper hoop to enhance power and stability, while adding a groove on the inner portion of the frame to help the racquet bend optimally through impact. To further enhance comfort, Yonex adds ultra-thin and flexible fibers to the shaft (called Minolon) to dampen harsh vibrations. Yonex also continues with 2G NAMD SPEED, an advanced material innovation that helps the frame transfer more energy to the ball. The most important design feature remains the ISOMETRIC head shape, which gives this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. Ultimately, the EZONE 110 is simply a great choice for those looking for easy power and luxurious comfort."
215,RCYONEX-EZACBB,Raw Speed. Easy Shot Making. Great Price
216,RCYONEX-EZAPR,"Yonex serves up a great value to improving players Pre-strung for extra savings! New to EZONE family, the Alpha 100 provides an exceptional value to the rising intermediate player. With its light weight, this racquet's user-friendly performance helps less advanced players address the ball with confidence. Features include an open string pattern for easy access to spin, along with a powerful beam construction for added stability and power. The Alpha 100 also comes with a high launch angle for easier net clearance and depth. The inclusion of Minolon technology in the shaft softens the feel of ball impact, while the Vibration Dampening Mesh in the handle dissipates harsher vibrations for enhanced comfort. The standout feature is its ISOMETRIC head shape, giving this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. With an easy learning curve and an outstanding price point, the EZONE Alpha 100 is a tough racquet to beat for improving players looking to elevate their game without breaking the bank."
217,RCYONEX-EZAPLR,"Easy power. Easy spin. Great price. Pre-strung for extra savings! Lighter than the Alpha 100, the EZONE Alpha 100L delivers exceptional value for novice players, weekend warriors, or anyone seeking ease of use. At under 10 ounces, this racquet makes it easier for improving players to master stroke fundamentals. Key features include an open string pattern for easy access to spin, and a powerful beam construction that provides added stability and power. The inclusion of Minolon technology in the shaft softens the feel of ball impact, while the Vibration Dampening Mesh in the handle dissipates harsher vibrations for enhanced comfort. The standout feature is its ISOMETRIC head shape, giving this stick an undeniably more plush and responsive feel than conventionally shaped equivalents. With its maneuverable design and excellent price, the EZONE Alpha 100L is the perfect companion for players ready to refine their skills and master the game."
218,RCYONEX-EZASLB,"An outstanding value, this ultra light racquet provides an easy learning curve to novice players Pre-strung for extra savings! Lighter than the Alpha 100L, the EZONE Alpha 100SL is the most maneuverable model in the EZONE family, making it perfect for strong juniors, beginners, or anyone seeking ease of use. Weighing only 9 ounces strung, this racquet makes it easy for less advanced players to master stroke mechanics. Offered at a great price, the EZONE Alpha 100SL makes an outstanding value for those who want high performance without breaking the bank. Key features include an open string pattern for spin-friendly play, a powerful beam for added stability and power, and Minolon technology in the shaft for a softer feel at impact. The handle s Vibration Dampening Mesh reduces harsh vibrations, while the ISOMETRIC head shape provides an unmistakably more comfortable feel than conventionally shaped equivalents. With its maneuverable design and excellent price, the EZONE Alpha 100SL is an outstanding choice for players looking to elevate their game."
219,RCYONEX-PERM97,"Yonex gives the Percept 97 a new paint job! Yonex adds a cool navy blue cosmetic to the Percept 97! Featuring the same specs and playability as the standard version, the Percept 97 Midnight Navy is perfect for those who want a user-friendly player's racquet with spin-friendly targeting and great feel. Boasting a zippy sub-320 swingweight, this stick delivers easy spin from the backcourt and swift reactions at the net. In addition to its buttery flex point, the Percept also packs a surgical 97in² head, resulting in the kind of control that inspires confidence on full cuts. Notable features include an elongated shaft to enhance pocketing, flexibility, and control, along with a stiffer racquet face for extra stability and power. To help with comfort, Yonex adds a Servo Filter, which utilizes a thin elastic layer in the shaft to filter out harsh vibrations. Similar to its predecessor, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force , a material technology that enables the frame to flex optimally upon impact. Ultimately, the Percept 97 Navy Blue is a great option for those who want a light and spin-friendly player's racquet with easy targeting and great feel."
220,RCYONEX-PERM9D,"Yonex updates the Percept 97D with a new look Yonex adds a midnight blue cosmetic to its most classic player's racquet! Featuring a control oriented 97 in² head and a dense 18x20 string pattern, the Percept 97D Midnight Navy gives intermediate and advanced players the ability to hit an extremely accurate ball. It also packs a flexible 21mm beam, giving it phenomenal ball feedback. Although it has a near 12-ounce static weight, this racquet's headlight balance keeps it fast enough for whipping up spin or reacting quickly in the front court. Notable features include an elongated shaft to enhance pocketing, flexibility, and control, along with a stiffer racquet face for extra stability and power. To help with comfort, Yonex adds a Servo Filter , which utilizes a thin elastic layer in the shaft to filter out harsh vibrations. Similar to its predecessor, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force , a material technology that enables the frame to flex optimally upon impact. Players looking for a high degree of control combined with phenomenal ball feedback will love this one."
221,RCYONEX-PERM1D,"Now available in midnight navy! Updated with a midnight navy cosmetic, this version of the Percept 100D features the same specs and playability as the standard version. It features a tight 18x19 string pattern, giving it a very precise and predictable trajectory on full cuts. It also packs a sub-320 swingweight, making it easier to whip up spin from the backcourt or react quickly at net. Notable features include an elongated shaft to enhance pocketing, flexibility, and control, along with a stiffer racquet face for extra stability and power. To help with comfort, Yonex adds a Servo Filter , which utilizes a thin elastic layer in the shaft to filter out harsh vibrations. To further enhance feel, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force , a material technology that enables the frame to flex optimally upon impact. In addition to being a great option for intermediate players looking for great control and feel, the Percept 100D Midnight Navy is great for the more advanced player looking for a control-oriented racquet that comes around fast."
222,RCYONEX-PERM,"Sporting a midnight navy makeover, the Percept 100 specializes in raw speed, controllable power, and great feel Yonex adds a new paint job to the Percept 100! Featuring the same specs and playability as the standard version, the Percept 100 Midnight Navy specializes in speed, making it great for scrambling on defense, whipping up spin, or reacting quickly at net. Notable features include an elongated shaft for enhanced pocketing, flexibility, and control, as well as a stiffer racquet face and higher flex point, providing added stability and power. To help with comfort, Yonex adds a Servo Filter, which utilizes a thin, elastic layer in the shaft to filter out harsh vibrations. Similar to its predecessor, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force —a material technology that enables the frame to flex optimally upon impact. Ultimately, with its raw speed, spin-friendly precision, and arm-friendly comfort, the Percept 100 Midnight Navy is a great option for those looking for a user-friendly player's racquet that can hit every shot in the book."
224,RCYONEX-PERC97,"Buttery flex. Raw speed. Spin-friendly precision Defined by raw speed and spin-friendly targeting, the Percept 97 is perfect for those who want a user-friendly player's racquet with great feel. Boasting a zippy sub-320 swingweight, this stick delivers easy spin from the backcourt and swift reactions at the net. In addition to its buttery flex point, the Percept also packs a surgical 97in² head, resulting in the kind of control that inspires confidence on full cuts. Notable features include an elongated shaft to enhance pocketing, flexibility and control, along with a stiffer racquet face for extra stability and power. To help with comfort, Yonex adds a Servo Filter which utilizes a thin elastic layer in the shaft to filter out harsh vibrations. Similar to its predecessor, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force , a material technology that enables the frame to flex optimally upon impact. Ultimately, the Percept 97, with its seductive combination of speed, spin and feel, is a great option for those who want a light and spin-friendly player's racquet with impressive control and feel."
225,RCYONEX-PERC1D,"Yonex adds a new member to its most storied control franchise Introducing the Yonex Percept 100D ! With this racquet, Yonex adds a new member to its most storied control franchise. In addition to being a tad more powerful and forgiving than the Percept 97's, the 100D packs a tight 18x19 string pattern, giving it a wonderfully precise and predictable trajectory on full cuts. It also packs a sub-320 swingweight, making it easier to whip up spin from the backcourt or react quickly at net. Notable features include an elongated shaft to enhance pocketing, flexibility and control, along with a stiffer racquet face for extra stability and power. To help with comfort, Yonex adds a Servo Filter , which utilizes a thin elastic layer in the shaft to filter out harsh vibrations. To further enhance feel, this racquet's graphite layup is enhanced by 2G-NAMD Flex Force , a material technology that enables the frame to flex optimally upon impact. Ultimately, with this addition to the Percept line, Yonex has delivered an impressive combination of speed, precision and feel to intermediate and advanced  players."
239,RCTWABG-PTC98,"Prince adds a stealth carbon cosmetic to one of its most popular player's racquets Introducing the ATS Textreme Tour 98 Carbon ! Featuring the same spec as the standard cosmetic, this racquet is perfect for the intermediate player who wants controllable power and great feel. With its 98in² head, this racquet offers a tad more power than the Tour 95 but still delivers surgical targeting on full cuts. The signature technology is Prince's Anti-Torque System (ATS) which features Textreme and Twaron in both the shaft and upper hoop. The upshot is less frame torque through impact, resulting in a more stable hitting experience. On groundstrokes, the Tour 98 feels fast, spin-friendly and accurate. Although it errs on the side of control, there is definitely enough pop to get the ball moving through the court, and the buttery 62-RA stiffness delivers an arm-friendly ride with great feedback. As with the standard cosmetic, this stick is ideal for intermediate and advanced players looking for easy targeting and great feel. The awesome cosmetic is a very nice bonus."
240,RCTWABG-ATR98,This new addition to the Prince Tour line combines controllable power with outstanding feel
242,RCTWABG-ATR95,"Updated with a more flexible beam, this midsize player's racquet offers outstanding control and feel This update to the Textreme Tour 95 retains the speedy and surgical feel of previous generations while adding an even more arm-friendly beam construction. Although it weighs nearly 12 ounces strung, the ATS Textreme Tour 95 comes around fast, making it great for whipping up spin and hitting shots on the run. It also has decent pop for a midsize player’s racquet (thanks in part to how fast this stick moves through contact). For 2022, Prince has given the Tour 95 a more flexible beam, resulting in even better ball feedback along with less shock to the tendons. Other updates include Anti-Torque System (ATS) which features Textreme and Twaron in both the shaft and at 10 and 2 o'clock in the upper hoop. The upshot is less frame torque at impact, resulting in a more powerful and stable hitting experience. Ultimately, with its seductive combination of speed, control and feel this update to the Tour 95 checks all the right boxes. Experienced players looking for user-friendly midsize player’s racquet should love this one."
243,RCTWABG-ATR10P,"Updated with a more flexible beam construction, this racquet combines classic control and feel with modern all-court speed"
244,RCTWABG-ATR310,"Controllable Power. Easy Spin. Great Feel Prince updates the Tour 100 (310) with a softer feel and a new material technology but keeps the controllable power and spin-friendly targeting of the previous generation. Like our favorite modern player’s racquet, the ATS Tour 100 (310) rewards aggressive players with the precision to swing big and load the ball with pace and spin. For 2022, Prince gives the Tour 100 a more flexible beam, resulting in even better ball feedback along with less shock to the tendons. Other updates include Anti-Torque System (ATS) which features Textreme and Twaron in both the shaft and at 10 and 2 o'clock in the upper hoop. The upshot is less frame torque at impact, resulting in a more powerful and stable hitting experience. From the baseline the Tour 100 (310) feels stable when redirecting higher levels of pace. The open 16x18 pattern translates into easy spin, and full swings are rewarded with more than enough power to close out points. It also feels solid at net where the touch is outstanding. All in all, with its controllable power and great feel, this update has impressive ""out of the box"" playability.  The fact that it comes with a more flexible and arm-friendly beam construction is a nice bonus."
245,RCTWABG-ATR290,"Updated with a more flexible and arm-friendly beam construction for 2022 One of the most arm-friendly racquets in its class, the ATS Textreme Tour 100 (290) is perfect for the intermediate player who wants controllable power and great feel. At under 11 ounces, this stick is faster than the ATS Textreme Tour 100 (310), making it great for hitting shots on the run and reacting quickly at net. It also packs a spin-friendly 16x18 string pattern, giving you enough spin-potential to bring the ball down hard. For 2022, Prince adds a more flexible beam, resulting in better ball feedback along with less shock to the tendons. Other updates include Anti-Torque System (ATS) which features Textreme and Twaron in both the shaft and at 10 and 2 o'clock in the upper hoop. The upshot is less frame torque at impact, resulting in a more powerful and stable hitting experience. Intermediate players looking for controllable power and great feel will love this one."
246,RCTWABG-PRIPXS,"This powerful and spin-friendly weapon hits a heavy ball Introducing the Ripcord 98 XS! With this new addition to the Ripcord family, Prince gives intermediate and advanced players the tools to hit heavy, spin-loaded balls that drop hard and explode off the court . Compared to the Ripcord 100 300g, this stick has a smaller head size, giving it the kind of accuracy that breeds confidence when the set score tightens. It also packs more mass, which helps keep the racquet steady when your opponent's pace goes up. Technologies include Prince's newly updated Anti-Torque System, which combines Textreme and Zylon in key locations to minimize frame wobble and power loss on off-center impact. The 98 XS also has a CTS Beam, which uses variable beam widths to balance feel and stability. Ultimately, this is a very impressive addition to the Ripcord line. Intermediate and advanced players looking for a powerful and spin-friendly weapon will love this one."
247,RCTWABG-RPCDH,"Easy spin. Effortless power. Outstanding price New to the Ripcord family for 2025, the Ripcord 100 300g is weighted for intermediate players, but it will also tempt the more advanced player looking for speed. Like our favorite modern player's racquets this stick gives the aggressive baseliner an irresistible combination of power, spin, and accuracy. The speedy feel makes it great on reaction volleys, yet there's enough stability to redirect higher levels of pace. It also benefits from Prince's newly updated Anti-Torque System, which combines Textreme and Zylon in key locations to minimize frame wobble and power loss on off-center impact. Ultimately, this a very solid addition to the Ripcord family. Intermediate and advanced players looking for a user-friendly path to power and spin will love this one. The great price makes it one of the better values at Tennis Warehouse."
248,RCTWABG-RPCDM,"Easy spin. Effortless power. Great Price  Updated with better feel for 2025, the Ripcord 100 285g is ideal for the rising intermediate player. Like the previous generation, this stick specializes in speed, spin, and power. Boasting a low swingweight, the Ripcord is great for whipping up spin or hitting shots on the run. For 2025, Prince stiffens the beam for a more powerful and stable hitting experience. Stability is further enhanced with Prince's newly updated Anti-Torque System, which combines Textreme and Zylon in key locations to minimize frame wobble and power loss on off-center impact. Recommended to intermediate players and value hunters looking for a speedy racquet with easy access to power and spin."
249,RCTWABG-RPCDL,"Introducing the perfect entry point into the world of aggressive tennis Prince adds another chapter to the Ripcord 100 265g ! As the lightest model in the family, this racquet is perfect for dedicated beginners and early intermediate players. Like the previous generation, it specializes in speed, spin, and power. It also comes at a phenomenal price, making it ideal for value hunters who don't want to sacrifice performance. For 2025, Prince stiffens the beam for a more powerful and stable hitting experience. Stability is further enhanced with Prince's newly updated Anti-Torque System, which combines Textreme and Zylon in key locations to minimize frame wobble and power loss on off-center impact. Ultimately, this update is great for improving players looking for an easier path to aggressive tennis. Did we mention the price?"
250,RCTWABG-2RIP98,"Power. Spin. Comfort New to the Ripstick family for 2025, the Ripstick 98 offers an irresistible combination of power and precision. Boasting a surgical 98in² head and 16x18 string pattern, this stick will give you the needed spin-potential to target the lines. It also comes with a fairly hefty swingweight, which provides impressive stability against big hitters while also providing massive power on full cuts. This racquet's comfortable feel comes in no small part from the large O-Ports that surround the hitting area, a feature that not only produces a more plush and powerful string bed, but also creates less wind-drag for easier acceleration. It also has Prince's newly updated Anti-Torque System, which combines Textreme and Zylon in key locations to minimize frame wobble and power loss on off-center impact. Ultimately, this is a great option for the player who wants a precise and powerful racquet with a plush feel at impact."
